FirstName|LastName|City|ZipCode|State|Birthday|Street|Country|Relationship|Email|Group
Regina|Winters|East Lansing|64429|Texas|10/04/1980|312-7196 Sagittis St.|Netherlands|4|dignissim.lacus@etrutrum.ca|1
Chancellor|Guy|Lowell|94074|Kansas|11/14/1987|P.O. Box 372, 7928 Odio. Av.|Austria|4|dui@blanditat.ca|1
Gillian|Mcclure|Irving|13136|New York|11/20/1989|4023 Magnis St.|Kuwait|1|eget@Sed.ca|3
Ignacia|Small|Belpre|25539|District of Columbia|08/16/1982|P.O. Box 991, 6659 Sed Street|Sierra Leone|3|ut.odio@tristiqueaceleifend.ca|1
Lacy|Wyatt|Rancho Cucamonga|35374|Michigan|08/09/1987|1222 Sed St.|Western Sahara|1|eu.tempor.erat@dolorsit.ca|1
Remedios|James|Newcastle|19035|Arkansas|08/29/1994|Ap #553-2081 Dictum Road|British Indian Ocean Territory|4|Suspendisse.commodo@Duiscursusdiam.ca|3
Quyn|Swanson|Scarborough|86361|Alaska|11/24/1984|6537 Iaculis St.|Micronesia|1|Ut.semper.pretium@sedest.edu|3
Kirsten|Chaney|Flint|19416|Iowa|07/17/1993|Ap #399-8831 Lacus. St.|Philippines|2|elementum.purus.accumsan@duiin.org|3
Shannon|Harmon|Odessa|88030|Iowa|04/25/1993|P.O. Box 373, 8996 Nunc St.|Malawi|1|Vestibulum.ante.ipsum@purusMaecenaslibero.org|2
Kathleen|Henry|Manchester|21805|Mississippi|12/04/1990|769-3830 Ligula. Road|Palestinian Territory, Occupied|3|et.commodo@semegestasblandit.ca|1
Bertha|Miranda|Altoona|76430|Wyoming|12/07/1986|P.O. Box 358, 7275 Amet St.|Malawi|3|tincidunt@Pellentesque.com|3
Hayden|Salinas|New Madrid|64470|Minnesota|03/23/1986|P.O. Box 244, 1285 Sagittis St.|Burundi|2|a.auctor@sociisnatoque.edu|3
Eve|Callahan|Scottsdale|90038|Ohio|07/25/1985|3301 Nec St.|Cameroon|2|eget@necmalesuada.edu|2
Fritz|Lawson|Woodruff|96689|South Dakota|07/11/1993|3770 At Av.|Canada|3|penatibus@elit.org|2
Fulton|Benson|Mesa|57410|Alabama|03/18/1993|3943 Quis Avenue|South Georgia and The South Sandwich Islands|3|euismod@consectetuer.com|2
Caldwell|Weiss|Lancaster|16469|Montana|03/22/1987|8040 Gravida St.|Finland|1|molestie.tortor.nibh@nuncnullavulputate.com|1
Latifah|Ball|Hackensack|03444|Louisiana|02/02/1994|Ap #807-2296 Aenean Rd.|Nauru|2|felis.adipiscing@antelectus.org|3
Kaye|Lott|Clovis|24484|Tennessee|06/01/1999|143-6749 Non St.|Saint Helena|1|quam.vel.sapien@euplacerat.com|1
Basia|Whitfield|Cincinnati|49294|Maine|04/14/1985|Ap #653-3565 Vitae Av.|Mali|3|vel.quam.dignissim@liberoProinmi.com|3
Xyla|Hammond|Worland|14824|Alabama|03/12/1994|8274 Erat Avenue|Guam|2|egestas@sodales.org|2
Fulton|Franco|La Cañada Flintridge|24493|South Dakota|07/10/1992|844-2314 Elementum Avenue|Turkmenistan|4|sit.amet.consectetuer@lectusantedictum.org|1
Diana|Oneill|Compton|49982|Minnesota|07/13/1998|542-2882 Lectus Av.|Bouvet Island|2|nonummy@eratSednunc.com|3
Velma|Fitzgerald|North Chicago|22749|West Virginia|05/19/1996|2466 Facilisis Av.|Bangladesh|2|arcu@orci.edu|2
Keegan|Lindsay|Shelton|49938|Hawaii|03/26/1994|P.O. Box 365, 9333 Placerat. Rd.|Cape Verde|1|hendrerit.consectetuer.cursus@elit.ca|1
Christine|Wade|Rhinelander|38083|Texas|09/10/1984|240-6563 Mi Av.|Norway|1|Cras@maurisSuspendisse.edu|2
Ora|Valenzuela|Brea|79098|Rhode Island|12/12/1990|164-9147 In Rd.|Eritrea|3|sed.facilisis.vitae@liberolacusvarius.org|2
Alana|Terry|Roswell|38817|Alabama|06/16/1990|3807 Eu Avenue|Singapore|3|consectetuer.adipiscing.elit@eleifend.edu|1
Jada|Moore|West Bend|68228|Colorado|12/05/1987|1496 Consequat Rd.|Myanmar|3|sed@ultrices.org|2
Sylvester|Donovan|Commerce|53978|New Jersey|05/07/1990|Ap #603-5274 Ligula Street|Iraq|3|ornare.placerat@ut.ca|3
Amery|Webb|Gastonia|08590|Oklahoma|11/18/1986|4095 Iaculis St.|Turks and Caicos Islands|2|Sed@penatibuset.ca|1
Bert|Keller|Placentia|61542|Montana|09/25/1990|Ap #835-4874 Ornare Rd.|Pitcairn|3|velit@aliquameu.org|2
Igor|Spencer|San Bernardino|55160|Texas|05/11/1986|1999 Dui, St.|Congo|3|tellus.Suspendisse.sed@tellus.com|2
Driscoll|Simmons|South Gate|49393|Hawaii|04/06/1999|547-4276 Aliquam Ave|Korea|2|Sed.eget.lacus@mieleifend.com|2
Gail|Guerra|Barre|93922|South Dakota|06/25/1995|P.O. Box 704, 609 Montes, Ave|Jamaica|2|Sed.neque@laoreetipsumCurabitur.org|1
David|Jefferson|Lodi|29162|Georgia|10/29/1983|P.O. Box 501, 8069 Ante Rd.|Suriname|2|Duis.dignissim@turpisvitae.org|3
Lois|Armstrong|Cerritos|97712|Hawaii|09/08/1989|1908 Nec St.|Iraq|1|penatibus@posuereatvelit.edu|2
Baker|Haley|Aguadilla|81287|Indiana|11/05/1991|Ap #926-3772 Vel St.|Zambia|1|justo@mollis.org|3
Channing|Weeks|Grand Forks|24428|Massachusetts|08/06/1982|P.O. Box 536, 3626 Mus. Rd.|Liechtenstein|2|arcu.ac@sodales.edu|1
MacKensie|Cross|Pocatello|24543|Washington|08/11/1999|8851 Orci Road|Christmas Island|1|amet.metus.Aliquam@eratsemperrutrum.com|1
Kendall|Rosa|Pass Christian|91317|Nebraska|12/29/1989|340-2541 Magna Av.|Pakistan|1|per.conubia@metusVivamus.edu|3
Kermit|William|Norton|00457|Connecticut|09/12/1992|P.O. Box 899, 749 Dolor. Street|Niue|3|sit.amet.faucibus@adipiscing.org|3
Colby|Finch|Waltham|60510|Georgia|04/10/1986|6245 A St.|American Samoa|1|odio.Etiam@Etiamgravida.org|2
Chaim|Harper|Christiansted|31303|New Jersey|04/28/1993|P.O. Box 773, 4383 Cursus. Street|Burundi|4|dui.nec.urna@facilisis.ca|1
Wang|Duffy|Wichita Falls|76790|Virginia|01/26/1995|4866 In St.|Korea|3|pede.Praesent@erosnonenim.com|1
Nyssa|Goodwin|Camden|50779|Alaska|12/02/1988|107-7792 Per Av.|Guinea|4|amet.consectetuer@InfaucibusMorbi.com|2
Rebecca|Ramsey|Boulder Junction|34708|Vermont|07/24/1984|1219 Dignissim. Av.|Suriname|4|non.cursus.non@gravidaPraesent.edu|2
Keegan|Baldwin|Redlands|00548|Kansas|06/08/1984|P.O. Box 203, 6847 Viverra. Rd.|Tuvalu|4|arcu.Morbi@faucibuslectusa.com|3

