FirstName|LastName|City|ZipCode|State|Birthday|Street|Country|Relationship|Email|Group
Indira|Schneider|Carbondale|00044|Tennessee|12-28-83|Ap #740-5080 Non, Av.|Pakistan|4|et.ipsum.cursus@ut.org|2
Robert|Sears|Kankakee|60318|Mississippi|05-06-87|Ap #388-165 Dolor Rd.|Korea|1|ad@egetvariusultrices.ca|2
Mechelle|Massey|Waterbury|15393|Rhode Island|10-20-88|Ap #253-7266 Lobortis Av.|Albania|4|et.ipsum@aarcu.org|3
Bryar|Odonnell|Charlottesville|59214|District of Columbia|12-12-81|616-662 Malesuada Ave|Egypt|4|arcu@tincidunt.ca|1
Ashely|Hutchinson|South Gate|44350|Nebraska|04-07-87|Ap #797-9550 Donec Rd.|Seychelles|4|Aenean.egestas@nonenim.org|2
Timon|Morse|Rehoboth Beach|95490|Kansas|02-24-80|290 A Ave|Suriname|2|sit.amet@orcilobortisaugue.edu|3
Sebastian|Cameron|Jeannette|55814|Montana|05-13-81|238-4372 Magnis Road|Luxembourg|2|mi.Aliquam.gravida@lacus.ca|1
Cyrus|Herman|Logan|47938|Maine|11-27-82|611-4653 Est. Avenue|Albania|2|bibendum@ullamcorpernislarcu.ca|2
Quon|Roth|Kingston|64088|Nevada|04-01-82|6211 Ornare, Street|Burundi|2|Sed@Donec.edu|3
Paloma|Mcgowan|Stillwater|51009|Texas|11-14-88|9704 Aliquam Rd.|Falkland Islands (Malvinas)|4|orci.luctus@elit.edu|3
Whoopi|Holmes|Winnemucca|77644|Georgia|06-28-82|725-8191 Non, Ave|Honduras|3|enim@ornare.com|1
Aubrey|Salinas|Lynchburg|66950|Virginia|03-24-82|Ap #308-838 Fringilla Rd.|Syrian Arab Republic|3|pede.malesuada.vel@justofaucibuslectus.com|2
William|Richmond|Pine Bluff|09217|Rhode Island|11-04-88|P.O. Box 983, 5228 Suspendisse Road|Burundi|1|metus@egestasnuncsed.ca|2
Autumn|Macdonald|Corvallis|96494|District of Columbia|12-18-84|P.O. Box 614, 9395 A St.|Tonga|4|Donec.sollicitudin@nascetur.ca|1
Hamilton|Casey|Arlington|78674|Utah|10-30-86|369-9284 Velit. Rd.|Kyrgyzstan|1|metus.urna@ac.org|1
Scarlett|Tucker|Lynchburg|23265|Idaho|06-29-80|995-5538 Elit. St.|Denmark|4|egestas.lacinia.Sed@Curae;.org|2
Honorato|Becker|Egg Harbor|08987|Massachusetts|09-08-84|P.O. Box 624, 3009 Mi. Av.|Ethiopia|2|ut.lacus@seddolor.ca|3
Giacomo|Suarez|Norman|13153|Massachusetts|06-21-90|P.O. Box 309, 9724 Nullam Street|Moldova|1|diam.Sed.diam@ridiculus.org|2
Robin|Chang|Redlands|66305|Wyoming|10-18-84|Ap #296-6762 Eu Street|Brazil|2|eleifend@Maurismolestie.com|1
Flynn|Faulkner|Meridian|82763|Mississippi|09-20-86|155-7401 Sed, St.|Italy|3|congue.In@dis.com|2
Bevis|Irwin|San Luis Obispo|71904|Minnesota|07-21-90|P.O. Box 852, 558 Nonummy. Ave|Palau|4|iaculis@leoelementum.org|3
Peter|Adkins|Manitowoc|69474|Illinois|12-06-80|320-8292 Molestie Road|Spain|3|tellus@mitemporlorem.org|2
Ria|Montoya|Johnson City|70950|Mississippi|07-02-83|P.O. Box 478, 8354 Lorem Road|Gibraltar|4|egestas.lacinia.Sed@Proin.org|1
Wilma|Merritt|Muncie|51437|Vermont|01-11-83|184-9219 Integer Avenue|Tunisia|3|et.magnis@Curabitursedtortor.edu|1
Tasha|Cervantes|Seward|43230|Texas|06-10-83|Ap #852-7638 Euismod Avenue|Namibia|2|at@Crasvehiculaaliquet.com|2
Beck|Atkins|West Palm Beach|01992|Oregon|09-22-91|137-1693 Ridiculus St.|China|2|congue.a.aliquet@ridiculusmusProin.ca|2
Samson|Dudley|Bozeman|65175|Delaware|12-09-80|Ap #558-5514 Et, Street|Equatorial Guinea|3|justo@velsapienimperdiet.org|1
Kibo|Duffy|Fairmont|72164|Hawaii|11-08-83|914-3245 Mollis Ave|Liberia|3|diam.Proin.dolor@sed.com|1
Abraham|Lindsey|Pierre|82035|Kansas|06-05-82|P.O. Box 914, 324 Justo Rd.|Croatia|1|leo@acturpis.com|3
Latifah|Cooke|Overland Park|69965|New Jersey|08-06-90|Ap #706-3937 Adipiscing Av.|Ukraine|3|lobortis.mauris.Suspendisse@euenim.org|3
Mechelle|Nielsen|Roanoke|70932|North Carolina|10-18-91|4847 Magna, Rd.|Burkina Faso|2|convallis@id.edu|3
Kylee|Owens|Hamilton|29506|Hawaii|09-24-83|6748 Auctor Avenue|Eritrea|1|Nulla@euismodacfermentum.edu|2
Bernard|Hood|Kokomo|70746|Maryland|10-16-88|Ap #317-6846 Massa Rd.|Greece|2|tincidunt.pede@sitamet.org|3
Harrison|Ayala|Superior|98703|Georgia|10-26-88|519-9494 Orci. Street|Saint Kitts and Nevis|1|Proin.velit@adipiscingenimmi.edu|1
Garth|Lowe|Glendora|80420|Kansas|06-24-83|216-5369 Pede. St.|Malaysia|4|lorem.eu@accumsan.ca|3
Elvis|Hines|Elko|33568|Virginia|09-06-81|9719 Scelerisque Avenue|Algeria|1|eu.accumsan@fringillacursus.edu|3
Haviva|Wheeler|Laughlin|05098|Massachusetts|06-13-90|Ap #701-3870 Egestas. Ave|Korea|3|risus.In.mi@Donecconsectetuer.edu|2
Reed|Patton|Moorhead|57097|Nebraska|10-26-86|P.O. Box 794, 9188 Cras St.|Mozambique|4|magnis@dignissimmagna.org|1
Denton|Kerr|Dover|14391|Vermont|07-12-80|P.O. Box 678, 3957 Nisl. Rd.|Oman|4|elit@imperdietnecleo.org|2
Yardley|Odonnell|Vacaville|36561|South Dakota|06-25-89|Ap #253-3607 Ut, Street|Myanmar|1|per@Nunccommodo.org|1
Juliet|Solomon|San Francisco|84081|Wyoming|07-05-85|1400 Rutrum Rd.|Rwanda|4|adipiscing.elit@luctusutpellentesque.edu|2
Shelly|Hendricks|Healdsburg|70785|New York|08-12-88|P.O. Box 225, 2894 Diam. Rd.|Cook Islands|1|Nunc.quis@commodohendreritDonec.ca|2
Fitzgerald|Hancock|Las Vegas|66640|Alabama|10-23-86|694-6549 Elementum, St.|Andorra|2|ornare.sagittis.felis@acturpis.ca|2
Zachary|Hendrix|Elko|91234|Oklahoma|02-20-83|P.O. Box 652, 4202 Ante. Road|El Salvador|1|velit@Curabiturmassa.ca|2
Charity|Pate|Brockton|58052|Louisiana|07-14-85|Ap #617-9621 Ornare. Rd.|Denmark|1|suscipit@nisinibh.edu|3
Urielle|Dyer|Ansonia|10137|Illinois|06-07-86|8317 Tincidunt St.|Jamaica|2|pretium@Donecconsectetuermauris.com|3
Sopoline|Hyde|Spartanburg|85454|Oregon|05-28-81|Ap #243-2780 Aliquam Avenue|Greenland|2|vel@Donecest.com|1
Jemima|May|Port Washington|20004|Vermont|07-21-89|P.O. Box 933, 9176 Metus. Road|Saint Vincent and The Grenadines|3|magna.nec.quam@Aliquam.ca|2
Justine|Brooks|Brooklyn Park|25071|South Carolina|10-05-81|P.O. Box 486, 2742 Metus. Av.|Turkmenistan|4|rutrum.lorem@luctusCurabituregestas.com|3
Asher|Compton|Jamestown|23674|South Dakota|06-08-87|4389 Nam Road|Malaysia|3|lectus.pede@ametfaucibus.com|3
Grady|Finley|Jefferson City|29900|District of Columbia|10-22-89|9541 Risus Rd.|Cyprus|2|iaculis.odio.Nam@elementum.edu|2
Mufutau|Reyes|Steubenville|23816|Florida|04-08-80|Ap #431-4886 Porttitor Rd.|Marshall Islands|3|erat.nonummy.ultricies@erategetipsum.ca|1
Amir|Lawson|Fort Collins|63430|Louisiana|11-22-86|4928 Placerat Ave|Guadeloupe|4|dui@ridiculusmus.edu|3
Astra|Mosley|Sunbury|66686|District of Columbia|04-07-86|310-2074 Donec Av.|Mexico|3|euismod@ullamcorper.com|2
Whilemina|Hurley|Hattiesburg|94301|Hawaii|07-22-82|Ap #670-5267 Etiam Av.|Rwanda|4|ligula@Donec.ca|3
Barrett|Trujillo|Santa Fe Springs|82087|Maine|06-06-80|Ap #779-9900 Nunc Av.|Senegal|3|malesuada.vel.venenatis@Sed.edu|1
Chester|Hebert|Monterey Park|83392|Connecticut|06-18-86|946-1091 Sit Road|Reunion|1|ante.Nunc.mauris@turpisnecmauris.org|2
Darrel|Gibson|Carson|72596|California|06-29-80|Ap #617-7152 Eu Rd.|Taiwan, Province of China|4|Sed.id.risus@eget.com|1
Vivian|Case|Morgantown|71194|Kansas|02-01-82|1681 Cubilia Rd.|French Guiana|1|varius.et@arcuiaculis.com|1
Carlos|Harrison|Beacon|68767|Washington|07-21-85|674-5888 Purus. Rd.|Uganda|4|enim@sollicitudina.com|3
Barbara|Stone|Rocky Mount|12836|Vermont|02-02-86|Ap #975-5374 Iaculis Ave|Kenya|1|orci.Donec.nibh@velvenenatisvel.org|2
Leilani|Petersen|Revere|70089|Rhode Island|04-30-87|503-6302 Eget St.|Cape Verde|1|enim.Curabitur.massa@eteuismodet.com|1
Bruno|Holland|Everett|09366|Delaware|10-12-86|2560 Elit, St.|Burkina Faso|3|Sed.molestie.Sed@dolornonummy.org|1
Blythe|Trevino|Charlotte|60481|Vermont|01-19-80|P.O. Box 436, 6100 Vestibulum Avenue|Saint Helena|3|molestie.sodales@Vestibulumanteipsum.com|3
Sade|Bradshaw|Broken Arrow|08617|South Dakota|07-31-88|Ap #270-519 Iaculis Av.|Malaysia|2|est@Proinvelit.edu|1
Timothy|Kirk|Escondido|76457|New Jersey|07-30-82|Ap #976-1403 Sed Road|Korea|1|penatibus.et@nasceturridiculusmus.com|1
Yoshio|Harrison|Santa Cruz|79474|Oregon|09-26-80|6922 Aenean Road|Congo|2|convallis.dolor.Quisque@gravidanuncsed.edu|3
Raymond|Carr|Jonesboro|91420|Utah|05-08-83|9036 Non, Ave|Guinea-bissau|2|rhoncus.Donec@euaccumsan.org|1
Denton|Townsend|Stafford|71269|Michigan|09-04-87|P.O. Box 615, 6151 Nisi. Road|French Polynesia|2|nulla.vulputate@diam.org|2
Yen|Fischer|Columbus|36665|Montana|10-26-88|P.O. Box 968, 6717 Nec, Ave|Nepal|1|vestibulum.nec.euismod@et.org|2
Rama|Duke|Fullerton|89382|New Hampshire|12-16-88|2144 Leo, Street|Tanzania, United Republic of|2|interdum@Pellentesque.edu|3
Tanek|Craft|New Britain|49407|Oklahoma|02-08-89|119-4471 Elit Rd.|Moldova|3|dictum.eu.eleifend@pedeblanditcongue.com|3
Dahlia|Justice|West Hartford|71263|Vermont|03-05-90|8176 Ipsum Av.|Mauritania|3|Nunc@ornare.edu|3
Arsenio|Sampson|Louisville|62644|Connecticut|02-14-83|Ap #261-5477 Luctus Avenue|Sudan|1|urna@tristiquesenectuset.com|2
Ramona|Mckenzie|North Little Rock|08816|Louisiana|06-21-82|P.O. Box 837, 975 Metus. Rd.|Chad|1|tristique.senectus.et@Maecenasliberoest.org|2
Dara|Obrien|Dana Point|76652|Idaho|08-30-86|549-7520 Dui, St.|Somalia|4|a@Aliquamtinciduntnunc.org|1
Cara|Kim|Coral Springs|68594|Oregon|11-01-91|Ap #775-6420 Ipsum Road|Turks and Caicos Islands|2|urna.et.arcu@sagittislobortismauris.ca|2
Hayes|Spence|Baton Rouge|75490|North Dakota|07-29-87|686-9629 Dui. Rd.|Botswana|3|Fusce@Crasinterdum.edu|1
Ethan|Burns|Fort Worth|60799|Tennessee|11-20-85|6709 Turpis. Road|Kuwait|2|facilisi.Sed@atrisusNunc.ca|3
Allegra|Mays|Butler|90623|South Carolina|04-24-91|Ap #342-4005 Suspendisse Road|Mauritius|1|Duis.ac.arcu@liberoProin.ca|3
Amaya|Jordan|Concord|30946|Arkansas|03-09-81|Ap #860-5083 Ut St.|Jordan|2|et@ornare.edu|2
Haley|Williamson|Suffolk|58852|Arizona|11-28-91|Ap #218-7507 Ullamcorper, St.|Myanmar|1|congue.In@NullainterdumCurabitur.edu|1
Leroy|Donaldson|Augusta|52282|California|04-15-90|Ap #426-2044 Elit Avenue|Palestinian Territory, Occupied|4|tristique.pellentesque.tellus@Crasconvallis.org|1
Britanni|Strickland|Seal Beach|00063|Connecticut|11-23-90|747-6817 Mauris Road|Mexico|2|nisi.magna@Donec.org|3
Ramona|Maldonado|Moscow|51370|District of Columbia|07-04-91|Ap #760-5390 Odio Street|Serbia and Montenegro|1|lorem.semper@Integertincidunt.ca|1
Lance|Gonzales|Mayagüez|12497|California|07-08-90|Ap #151-2245 Lacinia St.|Reunion|3|ullamcorper@convallis.com|1

